#          lgT                    lgLx
-5.259203383000475851e-01 -2.918340853725974071e+00
-1.467655030089586310e+00 -5.414691190454928638e+00
-1.004239363483068415e+00 -4.350933057528496128e+00
-6.680865210818135447e-01 -3.254063258747806664e+00
-6.257761716196234003e-01 -3.143884875533297762e+00
-1.349212637858151265e+00 -4.865107344821568702e+00
-7.983981569307017079e-01 -3.629794686790446701e+00
-9.607515086938516191e-01 -4.070371665333753164e+00
-1.144131947023397489e+00 -4.344167596537713116e+00
-1.033974882762461078e+00 -4.153269094199218081e+00
-6.389050126087880699e-01 -2.970635085898007510e+00
-1.065618490019416553e+00 -4.226449625406158539e+00
-9.659791492437086458e-01 -3.999723330069082650e+00
-1.066781263547056602e+00 -4.316087632889548331e+00
-1.231210769528137128e+00 -4.883850158799497798e+00
-1.001121798921835060e+00 -4.129297693598664054e+00
-1.123856100161986005e+00 -4.440090517646742896e+00
-1.032564653333355453e+00 -4.176425366206208523e+00
-1.152690895802349624e+00 -4.566479225874702230e+00
-1.148244422373272844e+00 -4.478921924836852142e+00
-1.011589506045241116e+00 -4.113795894174510082e+00
-4.708854499971693031e-01 -2.703269032115497073e+00
-1.140270984755961337e+00 -4.371233544061785992e+00
-8.701896797265228356e-01 -3.682452316069653619e+00
-1.152160025489511241e+00 -4.502809246933425769e+00
-1.431788122067056968e+00 -5.243448744222038549e+00
-1.337879689874972522e+00 -4.955422579627494883e+00
-5.645240036727370292e-01 -2.776015685825460544e+00
-1.388180867758855852e+00 -4.829278379952570255e+00
-1.095073856086236086e+00 -4.339363035481806463e+00
-9.396990006600357548e-01 -3.941805583437999250e+00
-1.193775942243699095e+00 -4.660686289527458115e+00
-8.289497401018068867e-01 -3.611565169887030358e+00
-4.843012625469086396e-01 -2.648794613522944985e+00
7.724502165504175677e-01 4.048765575520688609e-01
-7.334208054487130202e-01 -3.303536090005540160e+00
-4.347584506038335572e-01 -2.683825829048660072e+00
-1.029453329448221544e+00 -4.081244714525148254e+00
-6.546129796529535083e-01 -3.212994742060620634e+00
-1.029588815955546854e+00 -4.187067587351297249e+00
-1.363367484064729185e+00 -4.995304239156631354e+00
-1.212098278245591576e+00 -4.723263938595288813e+00
-1.464037449148930969e+00 -5.307722256818773410e+00
-1.358201356653625513e+00 -5.055499145417090112e+00
-9.146529059996789668e-01 -3.975096885699799021e+00
-1.354277566867032379e+00 -4.983882567772835337e+00
-6.040756759131487019e-01 -3.207162373523489318e+00
-1.254389803883078969e+00 -4.785075674592259354e+00
-1.092378110097920851e+00 -4.539201464256992224e+00
-1.106503773112287758e+00 -4.291190638014009018e+00
-1.338443224014328470e+00 -5.060684665414112438e+00
-6.748574088289188699e-01 -3.240021499285956619e+00
-9.234203609624518361e-01 -3.754605490970522652e+00
-1.306607535822605692e+00 -4.848052214813124650e+00
-8.272907826853319602e-01 -3.580430600061681012e+00
-1.109459912625391009e+00 -4.375452074740404207e+00
-9.094802564532925571e-01 -3.710249986842164560e+00
